0,긴급구조 위치정보 품질…SKT > KT > LGU+--0,SK텔레콤이 긴급구조에 활용되는 위치정보 품질이 가장 우수한 것으로 나타났다	방송통신위원회는 긴급구조에 활용되는 위치정보의 2019년도 품질 평가 결과를 발표했다	119ㆍ122ㆍ112와 같은 긴급전화 신고 시 위치정보법에 소방청ㆍ해경청ㆍ경찰청은 이동통신 3사로부터 위치정보를 제공 받아 긴급구조 활동에 활용하고	방통위는 위급상황에서 활용되는 긴급구조 위치정보의 품질 정보를 일반에 제공함으로써 제공 사업자에게 긴급구조 위치정보의 품질 향상을 유도하고 긴급구조기관 등의 보다 신속하고 정확한 구조 활동을 지원하기 위해 긴급구조 위치정보 품질 평가를 실시했다	품질평가는 기지국ㆍGPSㆍ와이파이 위치정보에 대해 이뤄졌다	전국 22개 지역의 69개 지점에서 긴급구조기관 등의 긴급구조 위치정보제공 요청 시 위치정보사업자가 빠른 내에 정도의 정확한 위치정보를 제공하는지를 측정한 긴급구조 위치정보 품질 측정 시험 기지국 외의 GPSㆍ와이파이 측위를 통한 위치정보 제공이 원활하지 않은 긴급구조 위치정보 사각지대 단말기 시험 대상으로 진행됐다	조사결과 GPS 위치성공률은 SK텔레콤이 91 24 가장 높았으며 KT 90 95 LG유플러스 59 74 순이었다	와이파이 위치성공률도 SK텔레콤이 93 87 가장 높았다	KT 90 68 LG유플러스는 50 대인 57 41 머물렀다	긴급구조 위치정보 사각지대 단말기 시험 진행결과 기지국 위치정보는 외산 단말기ㆍ자급제 단말기ㆍ알뜰폰 단말기ㆍUSIM이동 단말기 제공되고 있었다	GPSㆍ와이파이 위치정보는 이용하는 단말기와 이동통신사 특성 등에 부분적으로 제공되고 있는 것으로 나타났다	특히 애플의 아이폰11프로맥스 등을 대상으로 긴급구조 위치정보를 측정한 결과 기지국은 제공 가능했지만 GPS와 와이파이는 제공하지 않았다	자살방지 등을 위해 항상 기지국 정보와 GPS와 와이파이 긴급구조 위치정보를 제공해야 하는 우리나라와 달리 미국은 긴급구조 전화 통화 시에만 기지국 정보이외에 GPS만을 제공하고 있는 점 등을 이유로 기능이 제한적으로 제공되고 있는 것으로 파악됐다	자급제와 USIM이동 단말기 등의 긴급구조 위치정보 측정을 위해 삼성전자 갤럭시S10 LG전자 G8를 대상으로 평가를 진행한 결과 기지국은 제공 가능했으며 GPS는 부분적 제공이 가능했다	반면 와이파이는 미제공이거나 부분적으로 제공이 가능한 것으로 나타났다	이는 일부 단말기의 경우 긴급구조 위치정보 요청 시 이동통신사 자체 측위서버로 GPS측위 하도록 긴급측위 모듈이 설정되어 있으나 일부 이동통신사는 자체 측위서버가 없어 GPS 정보를 미제공하고 있는 등이 원인인 것으로 조사됐다	방통위는 평가 결과를 토대로 미흡한 부분에 대해서는 보완해 정상화할 수 있도록 지속적인 노력을 기울일 이라며 향후 이용자의 선택권을 보장하고 긴급구조 활동의 효율적 지원을 위해 매년 긴급구조 위치정보의 품질을 평가하고 결과를 투명하게 공개하겠다 고 밝혔다	저작권자 무단전재
1,"보안 사각지대 ""중소기업""··· 올해 400개 기업에 컨설팅비 지원--0",저작권자 무단전재
2,서울역 LG빌딩서 20대 직원 투신 사고--0,서울 중구 서울역 부근 LG서울역빌딩에서 투신사고가 발생했다	경찰과 소방당국에 따르면 27일 낮 12시34분쯤 서울 중구 소재 LG서울역빌딩에서 A씨가 투신해 사망했다	유서는 현장에서 발견되지 않았다	아직까지 정확한 투신 이유는 밝혀지지 않았다	LG전자는 정확한 내용 파악을 위해 알아보고 있는 것으로 파악됐다	저작권자 무단전재
3,[DD퇴근길] 박원순 시장 아이폰에 성추행 증거 담겨있을까?--0,성추행 의혹 고소 사건을 수사중인 경찰이 고 박원순 전 서울시장의 스마트폰을 디지털 포렌식하기로 결정했다고 합니다	박 시장의 스마트폰은 보안이 쎄기로 유명한 아이폰 입니다	스마트폰 사용내역 디지털 자료를 분석해 사망 전 행적이나 성추행 의혹 등을 파악해 보겠다는 겁니다	박 시장의 아이폰에서 성추행 의혹을 객관적으로 증명할 만한 사진이나 영상들이 있다면 논란은 쉽게 종결될 것으로 예상됩니다	아이폰의 경우 10번 비밀번호를 잘못 입력하면 데이터가 삭제되는 등의 보안기능이 있어 뚫기 가장 어려운 스마트폰으로 꼽힙니다	그렇다고 못 뚫는 것도 아닙니다	국내 수사기관은 지난해 3월 청와대 선거개입 의혹으로 검찰 수사를 받다가 극단적 선택을 한 청와대 민정비사관실 소속 백모 수사관의 아이폰 잠금장치 암호를 해독해 낸 경험이 있습니다	보안은 뚫고 막는일의 반복입니다	아이폰도 시간이 걸리고 어려울 뿐 100 못 뚫는 것은 아니라고 합니다	박 전시장의 성추행과 관련한 논란을 종식시킬 증거가 아이폰에 담겨져 있을지 관심이 모아지고 있습니다	정부가 5년 내 90만개 일자리 창출을 목표로 주요 분야 디지털화를 추진하는 디지털뉴딜 정책을 공개했습니다	데이터 댐을 구축해 모두에게 개방하고 행정 의료 사회간접자본 측면에서 디지털 인프라를 확대하는 것이 골자인데요	2025년까지 58조2000억원 예산을 투입하고 총 90만3000개 일자리 창출 성과를 거두겠다는 구상입니다	일각에서는 우려도 나옵니다	새로운 일자리가 나오는 만큼 기존 일자리가 사라질 수도 있으니까요	데이터 네트워크 인공지능 미래기술이 전 산업에 적용되고 특히 오프라인 산업의 경우 비대면화 속도가 빨라지면서 반대급부로 기존 일자리가 감소되고 고용이 위축될 것이란 전망입니다	디지털뉴딜을 주도하는 과학기술정보통신부의 최기영 장관은 이와 관련해 사라지는 일자리보다 더 많은 일자리를 창출하고 사라지더라도 가능한 일자리 전환을 할 수 있도록 정부가 돕겠다 는 입장을 밝혔습니다	고용보험을 비롯해 재교육이나 평생교육 지원책을 더해 모를 일자리 쇼크를 최소화하겠다는 방침입니다	KT가 현대HCN 인수를 추진하고 있는 자회사 KT스카이라이프에 대해 선을 긋고 있는 모습입니다	구현모 KT 대표는 오늘 최기영 과학기술정보통신부 장관과 통신3사 CEO 간 간담회를 들과 만나 현대HCN 인수 향방에 대한 생각을 드러냈는데요
4,[DD퇴근길] 박원순 시장 아이폰에 성추행 증거 담겨있을까?--1,특히 그룹 차원의 인수 자금 지원이 가능한지 묻는 질문에는 스카이라이프가 재무구조가 튼튼하고 부채도 없다 는 말로 답을 대신했습니다	모회사인 KT로부터의 자금 조달 없이 KT스카이라이프 독자적으로 인수계획을 짜겠다는 얘기이겠죠	KT스카이라이프는 현대HCN 인수에 적극적으로 뛰어들고 있지만 당장의 현금은 3500억원 안팎으로 추산됩니다	반면 현대HCN 인수가는 5000억원 안팎으로 얘기되고 있죠	KT스카이라이프는 추가 부채를 질 생각까지 하고 있는 듯 KT로부터의 재원 조달도 대안으로 떠오르던 상황입니다	현대HCN 인수전이 방향으로 전개될지 주목됩니다	본입찰에는 SK텔레콤 LG유플러스 KT스카이라이프가 참전했다고 합니다	현대HCN은 다음주 내로 우선협상대상자를 지목할 방침입니다	넥슨이 24년의 서비스 역사를 지닌 바람의나라 모바일로 15일 출시했습니다	바람의나라	연 입니다	국내 최장수 온라인게임이 모바일로 재탄생 다시 1살이 됐습니다	바람의나라	연은 이른 오전부터 5만명이 넘는 서버 접속 대기열이 생길만큼 인기를 입증했는데요	2D 도트그래픽의 옛 감성을 훌륭하게 재현하면서 호평이 이어지고 있습니다	넥슨도 옛 콘텐츠를 100 이식했다고 강조했는데요	현대적 감성도 녹여냈습니다	캐릭터 자동이동으로 넣어 쉽게 접근 가능합니다	커뮤니티 기능도 강화했습니다	2020년대에 접하는 흔치 않은 2D 도트그래픽 신작이라는 점에서 상당 기간 눈길을 끌 전망입니다
5,[DD퇴근길] 박원순 시장 아이폰에 성추행 증거 담겨있을까?--2,영국이 20년 손을 잡아 온 화웨이를 배제하기로 했습니다	영국 통신사들이 블랙아웃 우려했지만 영국정부는 화웨이 장비를 걷어내기로 최종 결정했죠	반화웨이 정책을 요구하는 미국의 압박과 홍콩 국가보안법을 둘러싼 영국과 중국 간 갈등이 영향을 미친 것으로 보입니다	화웨이는 진보 대신 퇴보를 선택한 실망스러운 결정이라고 입장을 표명했습니다	영국정부는 지난 14일 보리스 존슨 총리 주재 국가안보회의를 열고 내년부터 화웨이 5G 장비 구입을 중단하고 이미 구축된 화웨이 장비를 2027년까지 전면 걷어낸다고 밝혔습니다	영국은 10조원 경제타격을 감수할 수밖에 없게 됐습니다	화웨이는 유감스럽게도 영국에서 화웨이 미래는 정치화됐다	미국 무역 정책에 것이지 보안 때문은 아니다 라고 말했습니다	통신4사는 2022년까지 3년간 유 무선 통신인프라 등에 약 24조5000억 25조7000억원 투자합니다	정보통신기술 산업 인프라 조성과 코로나19로 인한 어려운 경제환경을 극복하기 위해 통신4사는 적극적인 투자로 경기회복을 견인하기로 뜻을 모았습니다	이에 최기영 과학기술정보통신부 장관은 투자 세액공제 기지국 등록면허세 감면 인센티브 지원 노력을 지속한다고 화답했습니다	5G 단독모드 28GHz 투자를 확대해 완벽한 초고속 초저지연 성능이 구현될 수 있도록 노력을 당부했습니다	짧은 동영상 앱 틱톡이 연이은 악재에 휩싸였습니다	해외에선 이용 금지에 대비한 인플루언서들의 엑소더스 조짐이 보이는 가운데 국내에선 방송통신위원회에 과징금을 부과받은 것인데요	방송통신위원회는 틱톡이 법정대리인 동의 없이 만 14세 미만 아동의 개인정보를 수집해 정보통신망법을 위반했다며 1억8000만원의 과징금과 시정명령을 내렸습니다	사실 아동 개인정보 수집에 대한 틱톡의 법규 위반은 이미 미국에서도 문제된 바 있는데요 미국에서의 틱톡의 운명은 아직 결정되지 않았으나 이용자들의 동요는 이미 시작된 것으로 보입니다	외신에 따르면 일부 인플루언서들은 이미 틱톡이 금지될 경우에 대비해 팬들에게 인스타그램 유튜브 트위터 여타 소셜 플랫폼으로 이동해오길 권장하고 있다고 합니다	저작권자 무단전재
6,지하 세계 사이버 범죄 시장 격변··· 트렌드마이크로 “다계층 보안 수립해야”--0,트렌드마이크로가 지하세계의 사이버 범죄 서비스 거래 운용 패턴에 대한 내용을 담은 지하 세계 사이버 범죄 시장 보고서 8일 발표했다	해당 보고서는 지하 세계에서 활동하는 사이버 범죄자들 간 거래를 위한 신뢰가 무너지면서 전자상거래 플랫폼 디스코드 커뮤니케이션 채널로 이동함에 사용자 익명화가 증가된 것을 확인했다	지하 세계 시장에서 떠오르고 있는 주요 사이버 범죄는 성착취 범죄 사진 인증을 우회하기 위한 딥페이크 서비스 주사위 패턴을 예측하고 로블록스의 복찹한 캡챠을 파괴하는 AI 기반 겜블링 봇 해킹된 디바이스 기업 네트워크에 대한 서비스형 액세스 관련 서비스 웨어러블 디바이스 계정에 접근해 디바이스 교체를 요청하는 보증 스캠 등이다	에드 카브레타 트렌드마이크로 사이버 보안 최고 책임자는 새롭게 부상하고 있는 위협을 관리하기 위해서는 계층화된 리스크 기반 대응이 필수 라며 연구는 트렌드마이크로가 딥페이크 랜섬웨어 인공지능 봇 서비스형 액세스 고도로 타겟팅된 심 스와핑 등의 위협을 기업에 조기에 경고할 수 있도록 돕는다 고 말했다	보고서에 따르면 사법 당국의 적극적인 노력이 지하 세계 사이버 벚뫼 환경에 영향을 미치는 것으로 나타났다	국제경찰 조직에 여러 범죄 관련 조직 포럼이 삭제됐고 남은 포럼들도 지속적인 디도스 공격 로그인 경로 문제 등의 영향을 받고 있는 것으로 확인됐다	기존 지하 세계 시장에 대한 신용도가 약화되면서 거래처 검증 사용자 익명성을 높이기 위해 다크넷 트러스트로 불리는 신규 웹사이트가 생겨나고	지하 세계 시장들 판매자 구매자의 직접 결제를 지원하고 암호화폐거래 다중 서명 인증 암호화된 메시징 자바스크립트 금지 등의 보안 조치에 나서는 것으로 조사됐다	범죄 서비스의 체계적인 상품화가 진행됨에 관련 서비스 가격이 하락하고 있는 것으로 나타났다	일례로 암호화 서비스는 기존 1000달러에서 20달러까지 서비스 가격이 급락했다	일반 봇넷은 하루 평균 200달러에서 최대 5달러로 하락했다	반면 랜섬웨어 원격 액세스 트로이 목마 온라인 계정 크리덴셜 스팸 서비스 등의 서비스 가격은 안정세를 유지하며 지속적인 수요를 보이는 것으로 확인됐다	사물인터넷 봇넷과 같은 서비스에 대한 수요도 높은 것으로 나타났다	기존에 탐지되지 않은 새로운 악성코드의 변형 서비스는 5000달러에 거래되고 있는 것으로 조사됐다	가짜뉴스 사이버 프로파간다 서비스가 부상하고 있으며 유권자 데이터베이스는 수백달러에 거래되는 중이다	포트나이트와 같은 게임 계정은 평균 1000달러에 거래되는 것으로 조사됐다	한편 지하 세계 시장의 사이버 범죄는 진화하는 여러 유형의 공격을 통해 코로나19 사태 이후에도 계속해서 변화할 것으로 전망된다	트렌드마이크로는 변화하는 위협 환경에 대응하기 위해 최신 위협으로부터 보호하고 기업 보안 위협을 관리할 수 있는 다계층 보안 방식 수립을 권고했다	저작권자 무단전재
7,수도권 전면 원격수업 전환··· 교육부 “e학습터·온라인클래스 콘텐츠 강화”--0,교육부는 오는 26일부터 9월 11일까지 코로나19 확산 방지를 위한 서울 경기 인천 수도권 지역의 유치원 초 중 고 특수학교의 전면 원격수업 전환을 26일 발표했다	수능을 앞둔 고3 수험생들은 조치에서 제외된다	원할한 교육 지원을 위해 교육부는 EBS 온라인클래스와 e학습터를 전면 온라인 개학 당시 수준으로 확장했다	300만명이 동시 접속할 수 있는 규모다	플랫폼 담당 기관에 현장상황실을 구축하고 교육부와 기관 간 실시간 모니터링 체제를 마련했다는 설명이다	자연스레 온라인 개학 당시부터 제기돼 온 원격수업 전환으로 인한 교육의 질 저하 문제도 다식금 떠올랐다	준비가 되지 않은 상태서 원격수업을 진행하다 보니 크고 작은 실수가 잦았다	교사의 온라인 수업도구 활용 능력에 의존하다 보니 동일한 수준의 교육이 이뤄져야 하는 공교육에 적합하지 않다는 지적도 잇따르고	교육부는 원격수업 학습콘텐츠 지원 강화를 방안으로 내놨다	방송 중 고 교과 중학 프리미엄 콘텐츠를 2학기 말까지 연장해 홈페이지에 탑재하고 초등학교 1 2학년 유치원생을 위한 EBS 방송을 지속하겠다고 밝혔다	특히 EBS 검정출판사와 협력해 1학기에 개발되지 않았던 교과 콘텐츠 13종을 추가로 개발해 EBS 온라인클래스 e학습터 등에 탑재하겠다는 방침이다	한 교사는 온라인 개학으로 교사들도 정도 노하우가 쌓였다	EBS 온라인클래스나 e학습터를 활용하는 한편 동영상 위주의 다양한 교육 콘텐츠를 활용할 이라며 필요에 실시간 쌍방향 수업 도구인 화상회의 솔루션을 활용하는 양질의 교육이 이뤄지도록 노력하겠다 고 말했다	온라인 개학 당시 교육계는 다양한 수업도구를 활용했다	온라인클래스와 e학습터의 교육 콘텐츠를 중심으로 화상회의 솔루션인 줌 구글 미트 리모트미팅 등을 활용해 조회를 하는 등의 방식이다	화상회의 솔루션의 화면공유 기능을 활용해 학생들의 발표 수업이 진행되기도 했다	한편 교육부는 기초학력 지원대상 학생이나 중도 입국 학생 별도의 보충 지도가 필요한 학생의 경우 전면 원격수업 기간에도 1 1 또는 소그룹 등으로 등교해 대면 지도를 이어갈 예정이다	특수학교나 특수학흡 학생을 위한 맞춤형 학습지원도 이뤄진다	유은혜 부총리 겸 교육부 장관은 원격수업 전환으로 면대면 상담이 어려워진 상황에서도 학생과 교직원을 위한 심리방역을 지속적으로 제공해 나가겠다	지자체 경찰당국과 협조체제를 구축해 혹시모를 아동학대나 방치가 발생하지 않도록 살필 이라며 교육부의 원격수업 전환 결정이 수도권 지역의 감염 확산이 막는 시금석이 되길 기대한다 고 전했다
8,수도권 전면 원격수업 전환··· 교육부 “e학습터·온라인클래스 콘텐츠 강화”--1,저작권자 무단전재
9,불법의 온상 ‘다크웹’··· 암호화폐 이용해 전성기--0,다크웹 인한 피해가 급증하고	포털사이트의 아이디 등의 개인정보 유출이나 마약이나 불법 포르노 등의 거래에도 이용된다	높아지는 위험성에 비해 이를 막을 뾰족한 수가 없다는 게 더 큰 문제다	인터넷 공간은 크게 표층웹 딥웹 구분할 수	네이버 구글 일반 검색 엔진으로 검색 가능한 영역이 표층웹 일반 검색 엔진을 통해 검색되지 않는 영역이 딥웹이다	딥웹의 경우 종종 다크웹과 혼동해 같은 의미로 쓰이곤 일반인의 인식에 비해 무척 범위가 넓은 공간이다	검색에 제한이 돼 있는 기업 내부의 사설망이나 개인 이메일 클라우드 카페 포럼 개인 사이트 등도 딥웹이다	범주 안에 다크웹이 속해	다크웹은 명칭에서 알 수 있듯이 바깥에 드러나지 않도록 만들어진 네트워크다	이용자의 익명성 보호가 최대 목적인 셈이다	다중 우회 브라우저인 토르 등의 브라우저를 통해 접속할 수 있으며 암호화된 어니언 계열의 페이지가 대표적이다	다크웹 사건사고의 추적이 어려운 근본적인 원인은 토르 브라우저의 익명성 때문이다	토르 브라우저의 경우 3중 암호화를 거쳐 송수신되는 모든 패킷을 우회하기 추적이 어렵다	A라는 이용자가 토르를 통해 특정 사이트에 접속한다면 A부터 입구 중계 출구 3개의 중계지를 거쳐 사이트에 접속하게 된다	입구에서는 출구와 도착지를 모르고 중계에서는 출발지와 도착지를 모르며 출구에서는 출발지 입구를 모른다	토르를 이용해 악플을 달아 추적이 필요할 경우 출구 ip만 추적되기 A라는 이용자의 익명성은 보장되는 셈이다	토르 브라우저로 접속할 수 있는 다크웹에서는 익명성을 이용해 개인정보를 거래하거나 불법적인 마약 포르노 해킹툴 등을 거래하는 등의 일이 빈번하게 발생하고	폭발물이나 무기 등도 거래할 수	본디 수면 아래 감추어져 있던 다크웹이 대중이 알 수 있을 만큼 수면 위로 드러난 것은 암호화폐의 영향이 크다	기존에는 다크웹을 통해 불법적인 거래를 하면 인터넷 공간에서 익명성을 철저히 유지하더라도 수사기관이 자금의 흐름을 추적해 수사망을 좁히는 것이 가능했다
10,불법의 온상 ‘다크웹’··· 암호화폐 이용해 전성기--1,블록체인 기반 암호화폐의 등장으로 자금 유통에 대한 흐름을 추적하는 것이 어려워졌다	수사기관이 손을 놓고 있는 것은 아니다	액티브x 플래시 등의 플러그인을 통해 중계지가 아니라 이용자를 직접 특정하거나 수사기관이 직접 토르의 입구 중계 출구 노드 제공자가 되는 등의 방법이 사용된다	커지는 다크웹 위협에 검찰 경찰 등에서는 다크웹 관련 범죄 수사를 위한 체계를 구축하고	국내 보안기업 NSHC는 지난 12일 다크웹 내 정보를 추적하는 다크트레이서 개발해 일본에 서비스를 시작했다	국내 서비스를 앞둔 상태다	보안기업 관계자는 다크웹에서는 마약 총기 같은 위험물뿐만 아니라 포털의 아이디나 여권 정보 같은 개인정보도 활발히 거래되고 며 막연한 위협이 아니라 현실적인 위협이 되고 있는 상황 이라고 말했다	저작권자 무단전재
11,[국감2020] 공공의 적 구글…올해도 소득은 없었다 (종합)--0,과학기술정보방송통신위원회의 과학기술정보통신부 종합감사가 22일 마무리됐다	이날 국감은 5000억원대 금융사기를 일으킨 옵티머스 사태와 증인으로 참석한 구글코리아 임원에 대한 질타 등이 화두였다	옵티머스 사태와 관련해 서석진 전 한국방송통신전파진흥원 원장에 질문이 집중됐다	구글코리아의 임재현 전무는 정무위원회 국감 증인에 이어 과방위 증인으로도 출석해 구글플레이 인앱 결제 등과 관련해 여야 의원들의 집중포화를 받았다	5G 품질과 요금 논란은 여전했고 관련 질의가 이어졌지만 이전 감사 이상의 내용은 찾기 어려운 수준이었다	과학기술 출연연들의 방만한 연구환경 갑질 사태 등도 다뤄졌다	이날 국감에서 여야 할 없이 공공의 적은 구글이었다	정무위 국감을 마치고 과방위 국감 증인으로 출석한 임재현 전무는 인앱플레이 결제 망사용료 관련한 무임승차 논란 등으로 여야 위원들의 집중포화를 받았다	구글코리아의 경우 최근 수년간 국감 증인으로 존리 구글코리아 대표가 출석했다	존리 대표는 한국말을 상당히 잘 하는 것으로 알려져	통역으로 시간끌고 모르쇠와 불필요한 답으로 질타를 받은 인물이다	이에 여야는 실질적인 답을 할 수 있는 증인을 찾았고 낸시 메이블 워커 구글코리아 대표를 증인으로 채택했지만 코로나19 등을 이유로 불출석했다	돌고돌아 임재현 전무가 증인으로 채택됐다	상당수 질의는 구글플레이 인앱결제 강제 쏠렸다	임 전무는 한국 앱의 99 영향을 받지 않는다 큰 영향이 없다는 취지로 수차례 답변했으나 공감을 얻어내진 못했다	임 전무는 구글플레이 인앱결제 강제 관련 전기통신사업법 개정안이 통과될 경우 준수할 이라고 답하면서도 비즈니스모델에도 영향을 미칠 수 며 모호한 입장을 피력했다	이밖에 구글 검색 선탑재를 비롯해 우월적 지위 남용 조세회피 등의 질문도 빠지지 않았다	소득 있는 곳에 세금을 내야 한다는 여야 위원들의 질문 공세에 임 전무가 책임있는 답을 하기는 어려웠다	맹탕 답변이 이어지자 조승래 의원은 위임도 받지 않은 사람이다	그런 분을 앉혀놓고 질의했다 며 법적으로 대리인 제도가 됐든 책임 있는 사람의 답변을 받아야 하는데 모호한 상태에서 증언하는 것이 황당한 상황 이라고 증언의 실효성 여부를 되짚었다
